YORF	NAME	GWEIGHT	Cell-cycle Alpha-Factor 1	Cell-cycle Alpha-Factor 2	Cell-cycle Alpha-Factor 3	Cell-cycle Alpha-Factor 4	Cell-cycle Alpha-Factor 5	Cell-cycle Alpha-Factor 6	Cell-cycle Alpha-Factor 7	Cell-cycle Alpha-Factor 8	Cell-cycle Alpha-Factor 9	Cell-cycle Alpha-Factor 10	Cell-cycle Alpha-Factor 11	Cell-cycle Alpha-Factor 12	Cell-cycle Alpha-Factor 13	Cell-cycle Alpha-Factor 14	Cell-cycle Alpha-Factor 15	Cell-cycle Alpha-Factor 16	Cell-cycle Alpha-Factor 17	Cell-cycle Alpha-Factor 18	Cell-cycle cdc15 10m	Cell-cycle cdc15 30m	Cell-cycle cdc15 50m	Cell-cycle cdc15 70m	Cell-cycle cdc15 80m	Cell-cycle cdc15 90m	Cell-cycle cdc15 100m	Cell-cycle cdc15 110m	Cell-cycle cdc15 120m	Cell-cycle cdc15 120m	Cell-cycle cdc15 130m	Cell-cycle cdc15 140m	Cell-cycle cdc15 150m	Cell-cycle cdc15 160m	Cell-cycle cdc15 160m	Cell-cycle cdc15 170m	Cell-cycle cdc15 180m	Cell-cycle cdc15 190m	Cell-cycle cdc15 200m	Cell-cycle cdc15 210m	Cell-cycle cdc15 220m	Cell-cycle cdc15 240m	Cell-cycle cdc15 250m	Cell-cycle cdc15 270m	Cell-cycle cdc15 290m	Cell-cycle Elutriation 0.0hrs	Cell-cycle Elutriation 0.5hrs	Cell-cycle Elutriation 1.0hrs	Cell-cycle Elutriation 1.5hrs	Cell-cycle Elutriation 2.0hrs	Cell-cycle Elutriation 2.5hrs	Cell-cycle Elutriation 3.0hrs	Cell-cycle Elutriation 3.5hrs	Cell-cycle Elutriation 4.0hrs	Cell-cycle Elutriation 4.5hrs	Cell-cycle Elutriation 5.0hrs	Cell-cycle Elutriation 5.5hrs	Cell-cycle Elutriation 6.0hrs	Cell-cycle Elutriation 6.5hrs	Cell-cycle CLN3 induction 30m	Cell-cycle CLN3 induction 40m	Cell-cycle CLB5 induction 40m	Sporulation 0	Sporulation 30m	Sporulation 2h	Sporulation 5h	Sporulation 7h	Sporulation 9h	Sporulation 11h	Sporulation 2h (v. 5h)	Sporulation 7h (v. 5h)	Sporulation 11h (v. 5h)	Sporulation ndt80- Early	Sporulation ndt80- Middle	Sporulation ndt80over	Diauxic Shift 19.0g/L	Diauxic Shift 18.7g/L	Diauxic Shift 17.6g/L	Diauxic Shift 14.0g/L	Diauxic Shift 7.5g/L	Diauxic Shift 0.2g/L	Diauxic Shift 0g/L
YPL243W	YPL243W   SRP68     secretion                     signal recognition particle subunit          S0006164	1	-0.18	-0.92	-0.17	-0.40	-0.29	 0.18	-0.01	 0.23	 0.16	-0.12	 0.14	-0.15	-0.17	-0.42	 0.10	-0.15		-0.17	 0.06	 0.04	-0.06	-0.04	 1.24	-0.07	-0.54	-1.43	-0.64	-0.07	-0.12	-0.58	-0.30	-0.76	-0.38	-0.17	-0.79	-0.06	-0.29	-0.18	-0.58	-0.71	 0.12	-0.22	-0.15	 0.07	-0.40	-0.51	 0.03	 0.00	-0.22	-0.07	-0.47	-0.38	-0.32	-0.40	-0.32	-0.60	-0.74	-0.12	 0.72	-0.38	-0.62	-0.12	-0.74	-0.67	-0.97	-0.81	-1.00	-0.15	-0.67	-0.97	-0.58	-0.42	-0.89	-0.25	-0.09	-0.20	-0.45	-0.42	-1.15	-1.47
YLR061W	YLR061W   RPL22A    protein synthesis             ribosomal protein L22A                       S0004051	1	-0.20	-0.38	-0.38	-0.47	-0.27	-0.49	-0.03	 0.01	-0.20	-0.14	-0.38	-0.58	-0.07	-0.51	 0.15	-0.42	 0.37	-0.34	-0.43	-0.64	-0.20	 0.06	 0.11	 0.19	-0.34	 0.00	-0.43	-0.06	-0.14	-0.86	 0.01	-1.89	-0.32	-0.03	-1.29	-0.29	-0.42	 0.16	-0.74	-0.74	-0.32	-0.43	-0.06	-0.42	-0.06	 0.18	 0.49	 0.41	 0.38	 0.32	 0.30	 0.26	-0.06	 0.24	-0.06	-0.15	-0.20	 0.00	-0.32	-0.49	-0.20	-2.32	-1.74	-1.74	-1.64	-1.00	-0.36	-0.45	 0.00	 0.67	-2.74	-2.84	-0.60	 0.44	 0.11	 0.24	-0.23	-0.15	-1.47	-1.84
YLR134W	YLR134W   PDC5      glycolysis                    pyruvate decarboxylase                       S0004124	1	 0.44	-0.04	 0.72	 0.28	 0.76	 0.28	 0.64	 0.65	 0.50	 0.57	 0.50	 0.34	 0.46	 0.65	 0.68	 0.46	 0.70	 0.43	-0.38	 0.14	-0.67	-0.06	 0.40	-0.58	 1.12	-0.17	-0.06	-0.01	-0.25	 0.62	 0.80	 0.36	-0.36	 0.44	 1.01	-0.76	 0.25	 0.26	 0.42	 0.18	-1.00	 0.56	-1.03	 0.06	 0.01	 0.46	 0.28	 0.48	 0.16	 0.11	 0.33	 0.06	 0.06	-0.45	 0.23	 0.23	 0.40	-0.06	-0.40	-0.67	-0.29	-2.47	-1.79	-2.84	-3.32	-2.94	-1.69	 1.26	-1.03	 0.82	-2.32	-3.84	-0.71	 0.29	 0.50	 0.30	-0.15	-0.43	-1.18	-1.74
YLR207W	YLR207W   HRD3      protein degradation           HMG-CoA reductase degradation                S0004197	1	-0.10	-0.47	 0.18	-0.04	 0.28	-0.25	-0.09	-0.09	-0.15	-0.09	-0.27	-0.01	-0.06	-0.30	-0.25	-0.12	-0.03	-0.25	-0.47	-0.51	-0.22	-0.42	-0.74	-0.38	-0.42	-0.14	-0.64	-0.36	-0.12	-0.62	-0.34	-0.54	-0.81	-0.29	-0.42	-0.36	-0.36	-0.49	-0.58	-0.15	-0.42	-0.25	-0.27	-0.14	-0.23	-0.43	-0.45	-0.45	-0.18	-0.40	-0.06	 0.03	-0.06	-0.18	 0.39	 0.34	 0.04	 0.25	 0.71	 0.78	-0.22	 0.10	-0.22	-0.22	-0.71	-0.69	-0.49	-0.15	-0.79	 0.32	 0.43	 0.07	-0.47	 0.08	-0.09	 0.08	-0.17	 0.12	 0.26	 0.31
YLL030C	YLL030C             unknown                       unknown; similar to Ca++-transporting ATPase S0003953	1	 0.29	-0.23	 0.04	-0.18		 0.44	 0.16	 0.11	-0.14	-0.20	-0.45	-0.30	-0.25	-0.22	-0.07	-0.07	 0.15	-0.36	-0.43	-0.23	-0.32	-0.30	 0.03	-0.54	 0.06	-0.47	-0.10	-0.01	-0.30	-0.94	-0.29	-0.40	-1.00	-0.60	 0.33	-0.79	 0.31	-0.60	 0.40	 0.31	-0.76	-0.01	-0.86	 0.26	-0.69	-0.67	-0.56	-0.07	-0.76	-0.32	-0.79	-0.49	-0.64	-0.49	-0.71	-0.56	-0.40	 0.34	 0.78	-0.34	-0.43	-0.01	 0.73	 1.09	 1.29	 0.76	 0.00	-0.84	-0.27	-0.79	 1.85	 2.14	-0.03	-0.20	 0.07	-0.14	-0.27	-0.18	-0.09	 0.01
YKR082W	YKR082W   NUP133    nuclear protein targeting     nuclear pore protein                         S0001790	1	-0.18	-0.29	-0.69	-0.38	-0.14	-0.22	-0.03	 0.16	 0.15	-0.18	 0.19	-0.27	-0.10	-0.17	 0.31	 0.45	-0.40	-0.20	 0.01	-0.30	-0.17		-0.01	-0.60	-0.64	 0.30	-0.30	-0.10	-0.79	-0.64	 0.68	-0.42	-0.45	 0.59	-0.06	-1.00	 0.25	-0.54	 0.46	-0.27	-0.56	-0.64	-0.69	-0.94	-0.34	-0.25	 0.03	 0.08	 0.00	 0.01	-0.10	-0.09	 0.08	-0.09	-0.12	-0.29	-0.12	 0.10		 0.10	-0.18	-1.06	-0.47	-0.84	-1.36	-1.12	-0.62	-0.38	-0.84	-0.30	-0.49	-0.92	-0.67	 0.14	 0.11	-0.17	-0.42	-0.58	-0.51	-0.86
YDL119C	YDL119C             unknown                       unknown                                      S0002277	1	 0.15	 0.00	-0.12	-0.34	 0.08	-0.27	 0.06			-0.22	 0.28	-0.01	 0.10	-0.12	-0.12			-0.20	 0.19	 0.61	 0.15	-0.01	-0.17	-0.74	-0.32	 0.14	-0.30	 0.59	-0.30	 0.11	 0.12	-0.03	-0.79	 0.06	-0.03	-0.17	 0.18	 0.00	 0.20	 0.03	 0.83	-2.40	 0.66	-0.40	-0.22	-0.40	-0.56	-0.54	-0.34	-0.36	-0.43	-0.12	-0.22	-0.22	 0.12	 0.08	-0.25	 0.25	 0.43	-0.04	-0.45	-0.30	-0.34	-0.25	-0.34	-0.36	-0.40	 0.00	-0.22	-0.34	-0.54	-0.92	-0.12	-0.06	-0.18	-0.40	-0.17	-0.43	-0.22	-0.29
YCL067C	YCL067C   ALPHA2    transcription                 silenced copy at HML; see YCR039C            S0000572	1	 0.25	-0.20	 0.01	-0.01	 0.07	-0.07	 0.08	 0.08	 0.16	-0.22	-0.36	-0.25	-0.36	-0.34	-0.12	 0.18	-0.01	-0.43	-0.03	-0.38	-0.25	-0.54	-0.67	-0.12	-0.45	 0.21	-0.56	 0.63	 0.19	-0.84	-0.27	-1.32	-0.89	-0.14	-1.09	-0.15	-0.92	 0.32	-0.94	-0.12	 1.21	 1.25	 1.63	 1.04	-0.22	 0.08	 0.24	 0.01	-0.42	-0.18	-0.56	-0.60	-0.74	-0.25	-0.56	-0.49	-0.67	-0.45	 0.11	-0.01	 0.00	-0.84	-0.01	 0.01	-0.03	 0.00	-0.14	-0.20	-0.04	-0.36	-0.04	 0.21	 0.83	-0.15	 0.08	 0.30	 0.10	 0.34	 0.76	 0.73
YNL285W	YNL285W             unknown                       unknown                                      S0005229	1	 0.49	 0.39	 0.46	 0.29	 0.37	 0.26	 0.42	 0.16	 0.10	 0.07	 0.06	-0.01	 0.11	-0.01	 0.00	-0.10	 0.12		-0.45	-0.40	-0.60	-0.79	-0.22	-0.60	-0.14	-0.40	-0.20	-1.18	-0.43	-0.97	-1.12	-0.69	-1.22	-0.36	-0.36	-0.86	-0.25	-0.92	-0.36	 0.11	-1.18	-1.09	-0.97	 0.06	-0.22	-0.29	-0.56	 0.03	-0.12	-0.23	-0.27	-0.34	-0.69	-0.01	-0.32	-0.43	-0.27	 0.11	 0.52	 0.42	-0.51	-0.03	 0.03	-0.45	 0.15	-0.14	-0.23	-0.12	-0.04	-0.51	 0.01	 0.06	-0.36	-0.34	-0.38	 0.20	-0.34	-0.17	 0.42	-0.07
YBL088C	YBL088C   TEL1      telomere length regulation    putative phosphatidylinositol kinase         S0000184	1	-0.40	-0.06	-0.62	-0.32	-0.17	-0.34	 0.01	 0.14	 0.21	 0.14	 0.01	-0.03	-0.36	-0.04	 0.23	-0.18	 0.32	 0.15																										-0.03	-0.92	-0.71	-0.32	-0.40	-0.01	-0.32	-0.34	 0.01	-0.18	-0.84	-0.25	-0.40	-0.58	 0.23	 1.36	-0.03	-0.14	-0.30	-0.17	 0.18	-0.12	 0.07	 0.07	-0.42	-0.36	-0.14	-0.32	 0.21	 0.14	 0.03	 0.49	 0.04	-0.54	-1.03	-0.49	-0.47
YJL072C	YJL072C             unknown                       unknown                                      S0003608	1	-0.42	 0.24	 0.12	 0.54	-0.17	 0.21	-0.34	-0.17	-0.30	-0.15	-0.17	 0.11	-0.04	-0.14	-0.42	-0.15	-0.25	-0.23	-0.40	-0.09	 0.12	-0.22	-0.38	-0.38	-0.79	-0.42	-0.79	-0.29	 0.01	-0.22	 0.30	 0.08	 0.20	-0.01	 0.08	-0.47	-0.49	-0.23	-0.38	-0.01	-0.07	-0.23	-0.07	-0.25	-0.23	 0.12	-0.01	 0.18	 0.20	-0.17	-0.07	-0.40	-0.12	 0.18	-0.10	-0.20	-0.04	-0.07	-0.15	 0.08	-0.12	 0.86	 0.65	 0.86	 0.86	-0.04	 0.85	 0.04	-0.62	-0.92	 1.59	 0.96	 0.04	-0.17	-0.20	 0.21	-0.25	-0.27	 0.43	 0.61
YGR015C	YGR015C             unknown                       unknown                                      S0003247	1	-0.79	-0.42	 0.19	-0.04	-0.27	 0.06	-0.42	-0.20	-0.43	 0.00	-0.42	 0.15	-0.03	-0.03	-0.17	-0.17	-0.29	-0.20	-1.09	-0.07	-0.10	-0.18	 0.40	-0.49	 0.31	-0.42	-0.45	 0.44	-0.45	 0.30	 0.49	 0.45	-0.18	 0.24	 0.85	-0.14	 0.04	-0.25	 0.14	 0.78	-0.40	-0.47	-0.47	-0.15	-0.64	 0.58	 0.01	 0.08	 0.25	 0.16	 0.00	-0.09	 0.07	 0.00	-0.36	-0.47	-0.03	 0.19	 1.23	-0.32	-0.12	 0.39	 0.62	 1.11	 1.60	 1.04	 1.38	-0.76	 0.45	-0.36	 1.39	 1.32	 0.11	-0.14	-0.30	-0.10	-0.32	-0.54	-0.23	-0.58
YDR361C	YDR361C             unknown                       unknown                                      S0002769	1	-0.14	-0.79	-0.89	-0.62	 0.00	-0.47	 0.12	-0.07	 0.06	-0.10	-0.14	-0.47	 0.00	-0.58	-0.27	-0.42	-0.14	-0.27	 0.82	 0.80	 0.39	-0.10	-0.09	-0.01	 0.32	 0.15	-0.51	 0.37	 0.00	-0.29	-0.10	-0.60	-0.69	-0.09	-0.81	 0.30	-1.09	 0.28	-0.60	-1.18	 0.03	-0.43	 0.11	-0.76	-0.64	-0.42	 0.85	 1.04	-0.04	-0.17	-0.32	-0.42	-0.15	-0.47	-0.49	-1.06	-0.32	-0.04		-0.22	 0.15	-1.60	-0.30	-0.38	-0.60	 0.33	 0.90	-0.15	-0.47	 0.87	-1.25	-0.76	-0.27	 0.19	 0.10	 0.38	-0.47	-0.76	-1.29	-1.51
YIL093C	YIL093C             unknown                       unknown                                      S0001355	1	 0.14	-0.12	-0.14	-0.12	 0.01	-0.23	-0.10	-0.09	 0.29	-0.14	 0.11	 0.01	 0.00	-0.38	 0.06	 0.39	-0.47	 0.06	-0.07	-0.32	-0.30	-0.40	-0.56	-0.10	-0.29	 0.30	-0.34	 0.90	 0.48	-0.04	 0.38	-0.09	-0.79	 0.38	-0.45	 0.19	-0.15	 0.48	 0.28	 0.03	 1.03	 0.68	 1.18	-0.56	-0.40	-0.47	 0.11	-0.17	-0.06	-0.06	 0.12	-0.18	 0.00	-0.17	-0.25	 0.07	-0.18	-0.09	 0.58	-0.07	-0.47	-1.09	-0.60	-0.45	-0.45	-0.86	-0.56	-0.20	-0.03	-1.18	-1.43	-1.43	 0.12	-0.29	-0.17	 0.23	 0.08	-0.30	 0.70	 0.25
YNR020C	YNR020C             unknown                       unknown                                      S0005303	1	-0.25	-0.54	-0.29	-0.58	-0.15	-0.40	-0.09	-0.45	-0.36	-0.40	-0.49	-0.43	-0.01	-0.79	-0.07	-0.56	-0.20	 0.26	 0.58	 0.53	 0.29	-0.09	-0.89	-0.07	 0.23	-0.20	-0.62	-0.04	 0.29	-0.69	-0.03	-0.76	-0.74	-0.34	-0.84	 0.20	-0.25	 0.25	-0.71	-0.64	 0.57	 0.32	 0.58	-0.67	-0.69	-0.60	-0.64	-0.27	-0.06	-0.07	-0.15	-0.18	-0.18	-0.34	-0.18	-0.22	-0.40	-0.38	 0.01	-0.42	-0.76	-1.00	-0.92	-1.22	-0.92	-1.29	-1.36	-0.23	-0.34	-0.84	-1.09	-1.12	-1.03	-0.58	-0.27	-0.29	-0.30	-0.47	-0.45	-1.06
YIL166C	YIL166C             unknown                       unknown; similar to members of Dal5p and membS0001428	1	-0.54	 0.25	-0.07	 0.10	-0.54	-0.04	-0.18	-0.40	-0.40	 0.10	-0.29	 0.03	-0.12	-0.42	-1.00	 0.12	-0.17	 0.01	-0.25	-0.14	-0.32	-0.54	 0.19	-0.62	 0.48	-0.42	-0.20	 0.21	-0.49	 0.30	 0.01	 0.18	-0.40	-0.15	 0.72	-0.29	 0.01	-0.67	 0.43	 0.82	-0.58	-0.51	-0.49	-0.76	 0.39	 0.29	-0.18	-0.15	-0.06	-0.06	 0.28	 0.15	 0.15	 0.21	-0.12	-0.03	 0.12	-0.18	-0.27	-0.62	-0.01	-1.00	-0.17	-0.64	 0.44	 0.50	 0.25	 0.01	 0.55	 0.52	-1.94	-1.89	 1.57	-0.79	-0.60	 0.73	-0.25	-0.51	 1.08	 0.62
YDR507C	YDR507C   GIN4      cell cycle (growth inhibitor) protein kinase                               S0002915	1	-1.69	-0.27	 0.25	 1.14	 0.44	 0.39	-0.43	-0.18	-0.42	-0.18	 0.86	 1.04	 0.59	 0.20	 0.14	 0.21	-0.49	-0.34																										-1.74	-1.29	-0.89	 0.01	 0.40	 0.72	 0.85	 0.49	 0.04	 0.67	 0.07	-0.06	-0.15	 0.25	-0.23		 0.41	-0.12	 0.24	 1.08	 0.41	-0.29	-1.03	-1.09	 0.54	-0.92	-1.56	 1.51	 0.62	-1.40	 0.18	 0.07	 0.01	-0.20	-0.23	-0.34	-0.17
YER057C	YER057C   HIG1      heat shock response           heat-induced protein                         S0000859	1	 0.67	 0.55	 0.57	 0.49	 0.30	 0.37	 0.61	 0.41	 0.33	 0.03	 0.25	 0.00	 0.33	-0.27	 0.21	-0.30	 0.43	-0.27	-0.51	-0.45	-0.30	 0.00	-0.58	 0.26	-0.51	 0.26	-0.38	-1.22	 0.40	 0.07	 0.30	-0.43	 0.89	-0.12	 0.21	 0.16	 0.07	 0.40	-0.49	 0.63	 0.12	-0.03	 0.12	 0.11	 0.01	 0.25	 0.40	 0.21	 0.07	 0.04	-0.27	 0.04	 0.20	 0.31	 0.33	 0.20	 0.26	 0.00	 0.25	-0.45	-0.14	-0.01	 0.20	-1.06	-1.40	-1.47	-1.03	 1.34	-0.51	-0.58	-0.81	-2.12	 0.15	 0.21	-0.15	 0.64	 0.11	 0.20	 0.10	-0.17
YMR041C	YMR041C             unknown                       unknown                                      S0004644	1	-0.01	 0.01	-0.43	-0.15	-0.42	-0.15	-0.36	-0.43	 0.20	-0.15	-0.27	-0.09	-0.03	-0.45	-1.18	-0.56	-0.71	-0.23	-0.06	 0.34	 0.54	 0.20	 0.45	 0.30	 0.43	 0.24	 0.46	 0.60	 0.33	 0.25	 0.61	 0.32	 0.03	 0.46	 0.81	 0.16	 0.43	-0.07	 0.69	 1.06	 0.21	 0.08	 0.19	 0.10	 0.11	 0.45	-0.10	-0.62	-0.92	-0.71	-0.07	-0.23	-0.22	-0.12	-0.14	 0.15	 0.19	-0.23	 0.32	-0.43	-0.04	 0.79	 0.50	-0.32	-0.67	 0.16	 0.82	 0.93	-0.67	 0.67	 0.20	-0.38	 0.42	-0.29	-0.62	-0.40	-0.29	-0.25	 0.74	 0.10
YPL171C	YPL171C   OYE3      unknown                       unknown                                      S0006092	1	 0.07	-0.10	 0.19	-0.14	 0.14	 0.37	 0.14	 0.11	-0.18	 0.03	-0.10	-0.42	-0.01	-0.25	 0.30	-0.27	 0.15	 0.16	 0.26	 0.23	 0.12	 0.07	 0.39	 0.14	 0.33	 0.25	 0.03	 0.43	-0.09	-0.17	 0.36	-0.12	-0.74	 0.25	 0.53	 0.16	 0.20	-1.36	 0.26	 0.64	-0.03	 0.01	 0.11	-0.32	-0.12	 0.25	 0.19	-0.36	-0.60	-0.86	-0.30	 0.23	 0.07	-0.60	 0.30	-0.04	-0.45	-0.03	 0.08	-0.27	-0.67	-0.43	-0.43	-0.17	 0.07	 0.03	-0.34	-0.64	-0.15	-0.47	-0.40	-0.18	-0.07	-0.29	 0.11	-0.12	-0.54	-0.58	 0.15	-0.62
YMR114C	YMR114C             unknown                       unknown                                      S0004720	1	-0.01	 0.03	-0.09	-0.07	-0.25	-0.29	-0.01	-0.12	-0.17	-0.27	-0.43	-0.29	-0.15	-0.64	-0.32	-0.25	-0.12	 0.00	 0.32	 0.23	-0.01	-0.36	-0.36	-0.25	-0.20	-0.09	-0.27	-0.20	-0.17	-0.56	 0.01	-0.60	-1.22	-0.23	 0.04	-0.36	-0.40	-0.01	-0.29	 0.01	 0.16	 0.11	 0.28	 1.34	-0.25	-0.14	-0.45	-0.69	-0.58	-0.49	-0.27	-0.36	-0.62	-0.36	-0.25	-0.32	-0.01	 0.07	 0.41	-0.12	-0.38	-0.01	-0.01	 0.28		 1.95	 2.38	-0.32	 1.27	 1.74	-0.20	 0.19	 1.56	-0.49	 0.14	 1.06	-0.14	-0.09	 0.42	 1.08
YDR078C	YDR078C   PUN1      mating type switching         unknown                                      S0002485	1	 0.14	 0.31	 0.29	 0.24	 0.06	 0.03	-0.07	 0.00	 0.01	-0.06	-0.03	-0.09	 0.00	-0.69	-0.43	-0.40	-0.07	-0.10	 0.16	-0.40	-0.54	-0.42	 0.06	-0.51	 0.76	 0.26	 0.40	 0.16	 0.00	-0.10	 0.82	-0.43	-0.94	-0.64	 0.77	 0.55	 0.69	-0.36	 0.96	 1.15		-0.32	-1.32	 0.14	-0.47	-0.38	-0.20	 0.12	-0.18	-0.15	-0.79	-2.25	-0.54	-0.25	-0.29	-0.74	-0.18	-0.42	 0.32	-0.64	-0.38	 0.04	 0.37	 0.26	 0.50	 0.16	-0.38	-0.17	-0.36	-0.92	 1.06	 0.59	 0.06	-0.43	 0.31	-0.12	-0.07	-0.54	 0.37	
YPL244C	YPL244C             unknown                       unknown                                      S0006165	1	-0.23	-0.45	-0.34	-0.38	-0.12	-0.12	 0.19	 0.00	-0.01	-0.17	-0.40	-0.40	-0.09	-0.40	-0.22	-0.38	 0.16	 0.08	-0.25	-0.36	-0.45	-0.18	-0.84	 0.00	-0.36	-0.17	-0.69	-1.36	-0.22	-0.81	-0.34	-0.58	-0.18	-0.47	 0.03	 0.00	-0.06	 0.03	-0.81	-0.06	-0.29	-0.56	-0.42	-0.49	-0.38	-0.49	 0.28	 0.58	 0.32	-0.07	 0.11	-0.12	 0.08	 0.06	-0.12	-0.54	-0.23	-0.15	 0.41	-0.81	-0.74	-0.07	-0.47	-0.06	 0.06	-0.56	-1.09	-0.71	-0.60	-1.79	-0.43	 0.30	-1.89	-0.42	-0.29	-0.09	-0.71	-0.58	-1.32	-1.79
YOR296W	YOR296W             unknown                       unknown; may be involved in bud site selectioS0005822	1	-0.03	-0.51	-0.58	-0.60		-0.47	-0.45	-0.60	-0.51	-0.25	-0.62	-0.14	-0.23	-0.47	-0.34	-0.40	-0.43	-0.42	-0.14	-0.18	-0.14	-0.43	-0.54	-0.79	-0.07	-0.32	-0.07	-0.45	-2.56	-0.51	 1.09	-0.04	-0.27	-0.71	-0.34	-0.79	-0.14	-0.51	-0.04	 0.28	-0.15	-0.29	-0.17	-0.58	-0.20	-0.03	 0.11	-0.29	-0.14	-0.32	-0.22	-0.29	 0.11	-0.25	-0.20	-0.94	 0.01	 0.16	 0.80	-0.38	-0.58	 0.52	 0.14	 0.67	 0.53	 0.04	 0.63	 0.11	-0.27	-1.09	 0.61	 0.99	-0.07	-0.20	-0.25	-0.23	-0.09	-0.20	 0.43	-0.36
YLR062C	YLR062C             unknown                       unknown                                      S0004052	1	 0.00	-0.10	 0.00	-0.60	-0.10	-0.58	 0.08	-0.36	 0.04	-0.06	-0.07	-0.43	 0.01	-0.36	 0.16	-0.30	 0.37	-0.15	-0.34	-0.03	 0.19	 0.25	-0.69	 0.48	-0.22	 0.46	-0.42	-0.47	 0.39	-0.45	 0.34	-0.54	 0.07	 0.24	-0.36	 0.03	-0.58	 0.44	-0.92	-0.76	 0.18	 0.07	 0.42	-0.47	-0.12	 0.28	 0.53	 0.77	 0.70	 0.46	 0.58	 0.39	 0.39	 0.50	 0.24	-0.01	 0.00	-0.38	-0.60	-0.60	-0.15	-2.56	-2.32	-1.94	-1.84	-1.22	-0.69	-0.07	-0.01	 1.36	-3.64	-3.32	-1.15	 0.19	-0.06	 0.06	-0.36	-0.10	-1.89	-2.84
YCR099C	YCR099C             unknown                       unknown; similar to Pep1p, probably representS0000696	1	 0.31	-0.04	 0.10	-0.03	 0.14	-0.18	-0.20	 0.04	-0.09	-0.04	 0.04	-0.17	-0.09		-0.43	-0.07	 0.01	-0.03	 0.16	-0.10	-0.18	-0.42	-0.14	-0.71	 0.51	-0.09	 0.14	 0.25	-0.27	-0.03	 1.42	 0.58	-0.14	-0.62	 0.93	-1.79	 0.66	-0.49	 1.66	 0.87	-0.74	-0.29	-0.64	 0.00	-0.12	-0.32	-0.60	-0.27	-0.29	-0.15	-0.58	-0.47	-0.42	-0.22	-0.23	-0.30	-0.42	 0.40	 1.03	-0.30	-0.10	 0.18	-0.23	-0.84	-0.97	-0.58	-0.71	 0.42	-0.47	 0.07	-0.12	-0.40	-0.49	-0.17	-0.17	-0.07	-0.49	 0.10	 0.24	 0.04
YKR083C	YKR083C             unknown                       unknown; similar to paramyosin               S0001791	1	-0.42	-0.34		-0.30	-0.42	 0.14	-0.51	-0.23	-0.25	 0.04	-0.36	-0.43	-0.01	-0.36	-0.38	-0.22	-0.22	-0.36	-0.18	 0.36	 0.29	-0.17	-0.23	-0.30	 0.39	-0.10	 0.39	 0.66	 0.23	 0.06	 0.49	 0.11	-0.34	-0.01	 0.54	-0.17	 2.42	-0.29	 0.15	 0.52	 0.08	 0.00	 0.03	-0.07	-0.42	-0.12	-0.45	 0.10	 0.08	 0.15	-0.30	-0.38	 0.43	 0.12	-0.42	-0.81	-0.45	 0.26	 0.81	-0.64	-0.10	 0.19	 0.59	 0.54	 1.40	 0.62	 1.37	 0.03	 0.64	 0.21	 0.77	 0.42	 0.12	 0.11	 0.16	 0.48	-0.15	-0.07	 0.26	-0.36
YHR039BC	YHR039BC	1	 0.15	-0.09	-0.09	-0.04	-0.12	-0.32	 0.07	-0.25	 0.03	-0.10	-0.14	-0.01	-0.27	-0.45	-0.12	-0.12	-0.51	 0.06	 0.32	 0.48	 0.58	 0.14	-0.42	 0.34	 0.03	 0.41	-0.51	 0.54	 0.58	-0.17	 0.45	-0.32	-0.12	 0.52	 0.00	 0.15	-0.97	 0.61	-0.74	-0.54	 1.07	 0.82	 1.28	 0.23	-0.38	 0.03	-0.09	 0.00	 0.04	-0.10	 0.08	 0.10	-0.07	 0.10	-0.15	 0.06	 0.01	-0.45	-0.60	 0.38	-0.45	-0.51	 0.19	-0.67	-0.97	-1.22	-0.71	 0.79	-0.74	-0.43	-0.27	-0.45	-0.62	 0.04	 0.15	 0.40	-0.01	 0.20	 0.28	-0.76
YFL004W	YFL004W             unknown                       unknown                                      S0001890	1	-0.27	-0.74	-0.12	-0.47	-0.04	 0.04	 0.25	 0.06	 0.31	-0.01	 0.63	 0.28	 0.06	-0.06	 0.20	-0.03	 0.07	-0.36	-0.71	-0.40	-0.25	-0.25	-0.40	-0.04	-0.27	-0.15	-0.58	-0.03	-0.18	-0.60	-0.40	-0.64	-0.34	-0.23	-1.32	-0.01	-0.94	-0.18	-0.64	-0.84	 0.10	-0.25	-0.23	-0.03	 0.20	-0.27	-0.22	-0.23	-0.34	-0.22	-0.23	-0.23	-0.34	-0.36	-0.22	-0.18	-0.30	 0.06	 0.06	-0.18	-0.32	 0.79	 0.99	 0.64	 0.40	-0.07	 0.01	 0.00	-0.45	-0.71	 1.14	 0.70	-0.17	 0.29	 0.42	 0.45	-0.06	 0.33	-0.34	-0.09
